_id,Destinations,Flights per week
69e51ab27e4f0ef8ea70936d,Washington,15
69e51ab27e4f0ef8ea70936e,Mexico City,5
69e51ab27e4f0ef8ea70936f,Sao Paulo,14
69e51ab27e4f0ef8ea709370,Torronto,10
69e51ab27e4f0ef8ea709371,Amman,53
69e51ab27e4f0ef8ea709372,Baghdad,16
69e51ab27e4f0ef8ea709373,Basra,12
69e51ab27e4f0ef8ea709374,Bahrain,85
69e51ab27e4f0ef8ea709375,Beirut,40
69e51ab27e4f0ef8ea709376,Dammam,67
69e51ab27e4f0ef8ea709377,Jeddah,42
69e51ab27e4f0ef8ea709378,Medina,13
69e51ab27e4f0ef8ea709379,Riyadh,36
69e51ab27e4f0ef8ea70937a,Muscat,21
69e51ab27e4f0ef8ea70937b,Dubai,47
69e51ab27e4f0ef8ea70937c,Kuwait,29
69e51ab27e4f0ef8ea70937d,Tehran,50
